id,state_id,census_id,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Estimate!!Families!!Total,Estimate!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Estimate!!Married-couple families!!Total,Estimate!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Estimate!!Nonfamily households!!Total,Estimate!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars)
28156,49,1600000US5449252,"Lumberport town, West Virginia",298,58409,71065,231,63958,81465,188,66071,0,67,30208,33951
28157,49,1600000US5449492,"Mabscott town, West Virginia",650,39000,57646,381,62011,72060,296,77500,0,269,28578,37230
28158,49,1600000US5449564,"MacArthur CDP, West Virginia",701,24334,45683,563,0,50392,420,0,0,138,20259,25130
28159,49,1600000US5449732,"McConnell CDP, West Virginia",296,31311,51931,219,30712,49621,201,30471,0,77,0,58501
28160,49,1600000US5450260,"McMechen city, West Virginia",716,41250,61038,405,52075,79184,292,53958,0,311,24250,34007
28161,49,1600000US5450524,"Madison city, West Virginia",1142,46250,64264,763,69554,79704,639,76339,0,379,24188,32669
28162,49,1600000US5450860,"Mallory CDP, West Virginia",425,32978,31426,330,33324,35077,212,33663,0,95,0,17746
28163,49,1600000US5450932,"Man town, West Virginia",361,61094,81705,290,62500,85520,221,69904,0,71,53125,65239
28164,49,1600000US5451100,"Mannington city, West Virginia",640,41413,66082,443,58173,82705,320,76429,0,197,23567,26955
28165,49,1600000US5451676,"Marlinton town, West Virginia",441,31607,45863,248,36364,50560,168,51250,0,193,23491,34803
28166,49,1600000US5451724,"Marmet city, West Virginia",604,39500,51529,381,45208,60640,257,53438,0,223,24258,29384
28167,49,1600000US5452060,"Martinsburg city, West Virginia",7179,42835,58422,3786,46683,67342,2075,79181,0,3393,34570,44812
28168,49,1600000US5452180,"Mason town, West Virginia",411,27383,41303,207,33750,42329,129,52321,0,204,25714,38356
28169,49,1600000US5452228,"Masontown town, West Virginia",261,40893,48765,128,52321,50759,89,50341,0,133,33750,44702
28170,49,1600000US5452324,"Matewan town, West Virginia",298,15625,21612,95,38750,39144,85,40583,0,203,12554,13408
28171,49,1600000US5452372,"Matheny CDP, West Virginia",116,24085,35023,88,0,37336,88,0,0,28,0,0
28172,49,1600000US5452420,"Matoaka town, West Virginia",77,39896,46319,67,38438,43018,34,39500,0,10,53750,41850
28173,49,1600000US5452588,"Maybeury CDP, West Virginia",40,2500,7593,13,0,0,8,0,0,27,0,0
28174,49,1600000US5452780,"Meadow Bridge town, West Virginia",180,33523,33984,113,34063,38462,86,34500,0,67,0,25563
28175,49,1600000US5453572,"Middlebourne town, West Virginia",273,39125,63334,134,48333,92765,95,74063,0,139,30078,33896
28176,49,1600000US5453692,"Middleway CDP, West Virginia",164,55179,70989,117,53839,82797,103,57625,0,47,0,0
