id,state_id,census_id,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Estimate!!Families!!Total,Estimate!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Estimate!!Married-couple families!!Total,Estimate!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Estimate!!Nonfamily households!!Total,Estimate!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars)
36,14,9500000US1705580,"Belle Valley School District 119, Illinois",3493,58718,66723,1942,71487,78790,1257,81738,N,1551,39712,49522
37,14,9500000US1705610,"Belleville School District 118, Illinois",15112,44431,59233,8064,66142,75607,5243,83656,N,7048,30361,38390
38,14,9500000US1705760,"Bellwood School District 88, Illinois",6915,52696,68841,4927,61701,79346,2850,74433,N,1988,26883,36447
39,14,9500000US1705880,"Benjamin School District 25, Illinois",2311,109665,124694,2001,111432,128843,1797,112614,N,310,62000,94880
40,14,9500000US1705910,"Bensenville School District 2, Illinois",6954,69043,86513,4772,85394,98250,3527,99240,N,2182,43873,54430
41,14,9500000US1705950,"Benton Community Consolidated School District 47, Illinois",4138,42816,61096,2466,51552,69260,1754,67222,N,1672,27894,47823
42,14,9500000US1706000,"Berkeley School District 87, Illinois",7234,58657,72635,5151,70307,82776,3377,76335,N,2083,29906,42448
43,14,9500000US1706060,"Berwyn North School District 98, Illinois",7922,61250,74727,5380,71682,82847,3507,85988,N,2542,38910,47774
44,14,9500000US1706090,"Berwyn South School District 100, Illinois",9947,63274,76922,7058,72261,85824,4765,85501,N,2889,35942,49346
45,14,9500000US1706180,"Bethel School District 82, Illinois",478,43281,58782,319,44659,64234,173,62396,N,159,29514,37792
46,14,9500000US1706270,"Big Hollow School District 38, Illinois",5573,86153,94999,3906,95465,103029,2856,106250,N,1667,58050,66967
47,14,9500000US1706450,"Bloomingdale School District 13, Illinois",4904,98761,119966,3505,121344,141899,2989,129757,N,1399,43469,62024
48,14,9500000US1706510,"Cook County School District 130, Illinois",10926,54974,63436,6778,65412,72159,3987,72390,N,4148,37673,45125
49,14,9500000US1706750,"Bourbonnais School District 53, Illinois",8488,70675,87203,5681,90742,103417,4385,101937,N,2807,42371,50064
50,14,9500000US1706840,"Braceville School District 75, Illinois",532,55000,70873,398,58000,76146,306,80000,N,134,41458,44110
51,14,9500000US1706930,"Bradley School District 61, Illinois",4251,52240,61483,2740,58973,69819,1921,70655,N,1511,36004,43991
52,14,9500000US1707010,"Breese School District 12, Illinois",3055,68459,77826,2040,77553,92281,1717,80684,N,1015,29436,47503
53,14,9500000US1707170,"Indian Springs School District 109, Illinois",8720,55120,70356,6117,63445,81189,4162,76212,N,2603,31376,40870
54,14,9500000US1707290,"Lemont-Bromberek Combined School District 113A, Illinois",8833,104350,127012,6962,125167,143983,6130,135169,N,1871,39523,56535
55,14,9500000US1707320,"Brookfield School District 95, Illinois",3987,89622,103431,2718,111115,124005,2219,124271,N,1269,47460,56748
56,14,9500000US1707740,"Buncombe Consolidated School District 43, Illinois",258,54643,66551,206,58182,67986,149,64531,N,52,40625,54667
57,14,9500000US1707860,"Burnham School District 154-5, Illinois",637,41198,53890,363,43646,56440,147,55781,N,274,32500,44361
58,14,9500000US1707980,"Butler School District 53, Illinois",1867,144531,258674,1392,196154,314200,1240,226346,N,475,49450,94719
59,14,9500000US1708100,"Lincoln Elementary School District 156, Illinois",2222,43386,48762,1428,51458,51900,674,61921,N,794,33250,41090
60,14,9500000US1708130,"Calumet Public School District 132, Illinois",4410,46419,56601,2574,55236,67422,1111,83412,N,1836,26862,40787
61,14,9500000US1708310,"Carbon Cliff-Barstow School District 36, Illinois",627,39638,54222,410,51618,60658,272,61667,N,217,36103,36676
62,14,9500000US1708340,"Carbondale Elementary School District 95, Illinois",11119,24822,48318,4163,62177,77676,2763,85553,N,6956,15938,30465
63,14,9500000US1708730,"Cary Community Consolidated School District 26, Illinois",7742,105041,128588,6191,112463,139418,5138,120385,N,1551,50945,77844
64,14,9500000US1708790,"Cass School District 63, Illinois",3105,97163,134001,2009,131435,166398,1602,166250,N,1096,56000,73695
65,14,9500000US1708970,"Center Cass School District 66, Illinois",4795,102975,129071,3456,120523,151643,3077,129417,N,1339,46319,63727
66,14,9500000US1709150,"Central School District 51, Illinois",3723,87067,103461,2750,103389,118943,2331,113030,N,973,46050,54144
67,14,9500000US1709170,"Central School District 104, Illinois",1976,62258,83394,1276,73816,91019,963,94178,N,700,46481,67842
68,14,9500000US1709180,"Central City School District 133, Illinois",967,50766,61996,675,62824,69985,493,68583,N,292,30625,38078
69,14,9500000US1709210,"Lockport School District 91, Illinois",2508,73400,87485,1681,97904,105830,1307,112393,N,827,39453,49741
70,14,9500000US1709270,"Centralia School District 135, Illinois",5665,40024,55699,3086,55705,69054,2082,71500,N,2579,27896,37136
71,14,9500000US1709510,"Chaney-Monge School District 88, Illinois",1518,60102,72155,1054,71167,81079,730,92576,N,464,38793,45786
72,14,9500000US1709540,"Channahon School District 17, Illinois",3470,100776,115924,2893,109345,125146,2621,117468,N,577,53750,64476
73,14,9500000US1709850,"Chester-East Lincoln Community Csd 61, Illinois",1126,72386,87858,801,78250,100004,695,87232,N,325,47266,53650
74,14,9500000US1709960,"Chicago Heights School District 170, Illinois",7812,42964,55063,5061,53586,65386,2642,64310,N,2751,23990,32411
75,14,9500000US1709990,"Chicago Ridge School District 127-5, Illinois",5063,49848,60544,3190,52376,66406,2249,72911,N,1873,32911,45647
76,14,9500000US1710200,"Cicero School District 99, Illinois",22346,49367,62581,17613,52196,65869,10629,60762,72999,4733,28383,38054
77,14,9500000US1710380,"Skokie School District 73-5, Illinois",3238,102059,110229,2603,117025,121233,2096,128977,N,635,52107,63116
78,14,9500000US1710470,"Community Consolidated School District 93, Illinois",11931,89768,104510,8774,102320,116357,7009,111498,N,3157,58346,67859
79,14,9500000US1710690,"Colona School District 190, Illinois",1627,61676,67225,1106,74718,77791,909,77996,N,521,35089,42586
80,14,9500000US1710860,"Cornell Community Consolidated School District 426, Illinois",472,60000,66213,314,64000,70925,237,71750,N,158,42857,46765
81,14,9500000US1710950,"Ford Heights School District 169, Illinois",947,34125,46599,558,33417,55042,141,49663,N,389,27557,33006
82,14,9500000US1711010,"Country Club Hills School District 160, Illinois",4557,65339,74119,3037,79354,84990,1383,102468,N,1520,44464,50586
83,14,9500000US1711220,"Creston Community Consolidated School District 161, Illinois",358,74038,91975,242,86458,107053,187,89034,N,116,52813,59209
84,14,9500000US1711290,"Creve Coeur School District 76, Illinois",2468,52778,72709,1504,55691,87422,976,64904,N,964,37941,43072
85,14,9500000US1711350,"Crystal Lake Community Consolidated School District 47, Illinois",22485,91177,111564,16840,108402,125121,14040,117457,N,5645,52759,66639
86,14,9500000US1711520,"Cypress School District 64, Illinois",356,43750,63544,263,49583,71052,205,57125,N,93,30694,34752
87,14,9500000US1711700,"Dalzell School District 98, Illinois",305,60781,67887,221,78125,76840,176,85385,N,84,32500,39930
88,14,9500000US1711730,"Damiansville School District 62, Illinois",337,70469,86871,243,87750,99962,224,88000,N,94,39000,50263
89,14,9500000US1711910,"Deer Park Community Consolidated School District 82, Illinois",331,71328,118726,250,87917,138648,224,91667,N,81,39583,56883
90,14,9500000US1711980,"Deerfield School District 109, Illinois",7643,156989,211562,6025,181776,242996,5401,196486,N,1618,65833,92242
91,14,9500000US1712120,"Des Plaines Community Consolidated School District 62, Illinois",20027,65767,86180,12915,84495,100862,9859,96244,112807,7112,44094,56378
92,14,9500000US1712150,"De Soto Consolidated School District 86, Illinois",822,44471,58957,553,54940,70427,409,65208,N,269,27454,32853
93,14,9500000US1712210,"Diamond Lake School District 76, Illinois",3120,101273,115386,2576,115000,122979,2168,125430,N,544,55139,74335
94,14,9500000US1712270,"Dimmick Community Consolidated School District 175, Illinois",553,78942,96008,395,90703,106992,351,93558,N,158,53000,68077
95,14,9500000US1712420,"Dolton School District 149, Illinois",10556,48234,60339,6948,54322,69155,2913,79036,N,3608,29870,39719
96,14,9500000US1712450,"Dolton School District 148, Illinois",7912,42393,55051,5137,47115,62102,1891,64750,N,2775,29566,38459
97,14,9500000US1712540,"Downers Grove Grade School District 58, Illinois",20691,97940,127608,13893,130493,160553,11935,140794,N,6798,43758,58130
98,14,9500000US1712840,"Dwight Common School District 232, Illinois",2029,59406,71471,1249,82112,86893,939,94576,N,780,32260,46059
99,14,9500000US1712960,"East Alton School District 13, Illinois",3331,42991,53779,1707,51637,58299,1117,67458,N,1624,26905,44189
100,14,9500000US1713140,"East Maine School District 63, Illinois",16826,65339,85849,11473,81801,98759,8789,90292,N,5353,34691,55297
101,14,9500000US1713170,"East Moline School District 37, Illinois",10653,52697,62013,6399,64858,74919,4406,76802,N,4254,29375,39106
102,14,9500000US1713240,"East Peoria School District 86, Illinois",7549,58258,78079,4593,76845,87851,3926,84421,N,2956,38731,60725
103,14,9500000US1713260,"East Prairie School District 73, Illinois",1399,61496,76704,1147,64975,85529,882,75313,N,252,30250,29775
104,14,9500000US1713440,"Lindop School District 92, Illinois",1635,64452,74594,1222,71205,77981,560,108333,N,413,27112,33037
105,14,9500000US1713770,"Community Consolidated School District 59, Illinois",25473,63863,82214,16585,81719,97796,13009,89371,106821,8888,40513,50827
106,14,9500000US1714160,"Elwood Community Consolidated School District 203, Illinois",1391,83720,94214,973,96339,106012,770,99250,N,418,62212,62382
107,14,9500000US1714220,"Harmony Emge School District 175, Illinois",4392,57746,71662,2456,78688,93140,1753,89401,N,1936,29066,41766
108,14,9500000US1714250,"Emmons School District 33, Illinois",1313,103018,112622,1095,108125,120354,975,116406,N,218,33571,55951
109,14,9500000US1714410,"Eswood Community Consolidated District 269, Illinois",278,69063,82518,212,89000,93134,182,93889,N,66,37083,48223
110,14,9500000US1714460,"Evanston Community Consolidated School District 65, Illinois",30805,82051,134771,17209,124905,184378,13307,152773,N,13596,47615,70459
111,14,9500000US1714550,"Evergreen Park Elementary School District 124, Illinois",6981,75657,90252,4870,91667,105246,3328,106316,N,2111,43561,52955
112,14,9500000US1714640,"Ewing Northern Community Consolidated District 115, Illinois",627,58625,72732,434,76071,86717,370,83333,N,193,27841,38748
113,14,9500000US1714710,"Fairfield Public School District 112, Illinois",2787,43888,53359,1585,59586,67333,1159,70991,N,1202,27944,32890
114,14,9500000US1714760,"Fairmont School District 89, Illinois",1540,47632,58879,873,57135,65222,478,70000,N,667,35509,41966
115,14,9500000US1714820,"Skokie-Fairview School District 72, Illinois",1982,87358,102362,1551,95625,117735,1263,99276,N,431,30845,44932
116,14,9500000US1714940,"Farrington Community Consolidated School District 99, Illinois",222,56447,61923,140,68750,74553,125,78393,N,82,25556,39137
117,14,9500000US1715090,"Field Community Consolidated School District 3, Illinois",944,63793,78266,732,74091,86739,633,77180,N,212,37000,43866
118,14,9500000US1715420,"Flossmoor School District 161, Illinois",7821,91604,126796,5500,101416,143903,4022,126444,N,2321,61169,82627
119,14,9500000US1715450,"Forest Park School District 91, Illinois",6996,62664,84007,3121,93625,118779,2063,122723,N,3875,44599,54640
120,14,9500000US1715480,"Forest Ridge School District 142, Illinois",5940,69456,82396,3684,83750,99064,2684,101146,N,2256,40714,50373
121,14,9500000US1715630,"Fox Lake Grade School District 114, Illinois",3970,52344,71713,2058,77568,93870,1533,87390,N,1912,33741,46282
122,14,9500000US1715660,"Fox River Grove Consolidated School District 3, Illinois",1718,102206,118524,1137,124556,138390,852,127108,N,581,50515,74155
123,14,9500000US1715700,"Frankfort Community Consolidated School District 157C, Illinois",6265,122721,149503,5041,149688,169464,4735,152888,N,1224,54122,64380
124,14,9500000US1715780,"Franklin Park School District 84, Illinois",3494,65000,70819,2421,76436,81861,1694,88947,N,1073,28411,40950
